Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,42,27,10,3,97,0.591,234,192,0.41,-0.11,0.573,,
New York Islanders*,82,42,28,8,4,96,0.585,239,220,0.15,-0.08,0.561,,
New Jersey Devils*,82,41,28,9,4,95,0.579,205,187,0.15,-0.07,0.555,,
New York Rangers,82,36,38,4,4,80,0.488,227,258,-0.43,-0.05,0.463,,
Pittsburgh Penguins,82,28,41,8,5,69,0.421,198,249,-0.66,-0.04,0.39,,
Boston Bruins*,82,43,24,6,9,101,0.616,236,201,0.33,-0.09,0.561,,
Toronto Maple Leafs*,82,43,25,10,4,100,0.61,249,207,0.44,-0.08,0.585,,
Ottawa Senators*,82,39,27,9,7,94,0.573,243,208,0.36,-0.07,0.53,,
Montreal Canadiens*,82,36,31,12,3,87,0.53,207,209,-0.1,-0.08,0.512,,
Buffalo Sabres,82,35,35,11,1,82,0.5,213,200,0.09,-0.07,0.494,,
Carolina Hurricanes*,82,35,26,16,5,91,0.555,217,217,-0.09,-0.09,0.524,,
Washington Capitals,82,36,33,11,2,85,0.518,228,240,-0.25,-0.1,0.506,,
Tampa Bay Lightning,82,27,40,11,4,69,0.421,178,219,-0.58,-0.08,0.396,,
Florida Panthers,82,22,44,10,6,60,0.366,180,250,-0.92,-0.07,0.329,,
Atlanta Thrashers,82,19,47,11,5,54,0.329,187,288,-1.27,-0.04,0.299,,
Detroit Red Wings*,82,51,17,10,4,116,0.707,251,187,0.83,0.05,0.683,,
St. Louis Blues*,82,43,27,8,4,98,0.598,227,188,0.54,0.07,0.573,,
Chicago Blackhawks*,82,41,27,13,1,96,0.585,216,207,0.19,0.08,0.579,,
Nashville Predators,82,28,41,13,0,69,0.421,196,230,-0.31,0.1,0.421,,
Columbus Blue Jackets,82,22,47,8,5,57,0.348,164,255,-0.97,0.14,0.317,,
Colorado Avalanche*,82,45,28,8,1,99,0.604,212,169,0.58,0.06,0.598,,
Vancouver Canucks*,82,42,30,7,3,94,0.573,254,211,0.59,0.07,0.555,,
Edmonton Oilers,82,38,28,12,4,92,0.561,205,182,0.34,0.06,0.537,,
Calgary Flames,82,32,35,12,3,79,0.482,201,220,-0.15,0.08,0.463,,
Minnesota Wild,82,26,35,12,9,73,0.445,195,238,-0.41,0.11,0.39,,
San Jose Sharks*,82,44,27,8,3,99,0.604,248,199,0.62,0.02,0.585,,
Los Angeles Kings*,82,40,27,11,4,95,0.579,214,190,0.35,0.05,0.555,,
Phoenix Coyotes*,82,40,27,9,6,95,0.579,228,210,0.29,0.07,0.543,,
Dallas Stars,82,36,28,13,5,90,0.549,215,213,0.09,0.07,0.518,,
Mighty Ducks of Anaheim,82,29,42,8,3,69,0.421,175,198,-0.2,0.08,0.402,,
